Year,Month,Day,Weekend?,Hour,Primary Factor,Latitude,Longitude
2015,3,2,1,1700,2,39.17714755,-86.51252555

2015,3,1,1,2200,7,39.2458553,-86.61127969

2015,3,2,1,1200,1,39.16424,-86.492944

2015,3,2,1,1300,7,39.142608,-86.562048

2015,3,2,1,1400,20,39.178992,-86.523504

2015,1,5,1,700,20,39.13597025,-86.53111846

2015,2,6,1,1400,14,39.17650909,-86.58312857

2015,2,7,0,1300,5,39.13704,-86.572896

2015,3,3,1,900,2,39.16344009,-86.55128002

2015,3,3,1,1200,4,39.16217342,-86.54991075

2015,3,3,1,1100,4,0,0

2015,3,3,1,1300,15,0,0

2015,3,3,1,1500,4,39.14596012,-86.57747102

2015,3,3,1,1700,8,39.1710031,-86.5324

2015,3,3,1,1800,2,39.17580534,-86.56344483

2015,3,3,1,1700,8,39.0803299,-86.51473999

2015,3,3,1,1700,8,39.180352,-86.5284

2015,3,3,1,2100,17,39.16427777,-86.52588752

2015,3,3,1,1200,3,39.16461021,-86.57913006

2015,3,3,1,1200,26,39.16671172,-86.59908838

2015,3,7,0,1000,4,39.73761023,-86.274728

2015,3,7,0,1200,18,0,0

2015,3,3,1,800,20,39.09023917,-86.54535097

2015,3,3,1,2200,17,39.127616,-86.538688

2015,3,4,1,1200,8,39.16443758,-86.54775367

2015,3,4,1,1600,12,39.25556115,-86.52857981

2015,3,4,1,1400,17,39.16697343,-86.5348602

2015,3,4,1,1900,2,39.17157993,-86.5124885

2015,3,4,1,1700,2,39.23506165,-86.61779785

2015,3,4,1,1500,4,39.16671172,-86.59908838

2015,3,4,1,1800,4,39.14359867,-86.58030842

2015,3,4,1,1800,13,39.15650725,-86.58816576

2015,3,1,0,0,5,39.16424006,-86.49827018

2015,3,5,1,1100,4,39.175504,-86.527104

2015,3,4,1,1800,3,39.14978027,-86.56889006

2015,3,7,0,1000,4,38.95312131,-86.57913006

2015,3,5,1,1200,8,39.17839758,-86.53339992

2015,3,5,1,1500,20,39.33676612,-86.51067628

2015,3,5,1,1200,7,39.16409502,-86.54457045

2015,3,5,1,1700,4,39.16864,-86.53125663

2015,3,5,1,1500,18,0,0

2015,3,5,1,1700,12,39.26170215,-86.62624977

2015,3,5,1,1900,7,39.141616,-86.542032

2015,3,7,0,300,15,39.177776,-86.5296

2015,3,6,1,700,20,0,0

2015,3,6,1,700,11,39.14511871,-86.57756805

2015,3,5,1,1800,10,39.13994939,-86.53920947

2015,3,6,1,900,11,39.28922813,-86.51836149

2015,3,3,1,2000,26,39.168848,-86.55378253

2015,3,6,1,700,4,39.15738031,-86.53243012

2015,3,6,1,1000,4,39.12144,-86.526496

2015,3,6,1,800,1,39.16152,-86.538592

2015,3,6,1,1300,4,39.136144,-86.52662367

2015,3,4,1,1800,3,39.232048,-86.627296

2015,3,6,1,1400,4,39.175504,-86.527104

2015,3,6,1,1600,8,39.16464,-86.5324

2015,3,5,1,2000,12,39.11664474,-86.5659002

2015,3,6,1,1700,2,39.16438374,-86.52364965

2015,3,5,1,2200,10,39.17664,-86.542096

2015,3,6,0,2300,1,39.16464,-86.5336

2015,3,6,1,1700,2,39.186352,-86.528496

2015,3,5,1,1300,2,39.25347374,-86.65441007

2015,3,7,0,1400,2,39.178992,-86.537792

2015,3,7,0,2000,14,39.16425012,-86.51525996

2015,3,7,0,2100,8,39.13656457,-86.52910857

2015,3,7,0,1800,4,39.16743,-86.495047

2015,3,1,0,900,2,39.25917759,-86.52426508

2015,3,1,0,1100,1,39.136144,-86.528688

2015,3,1,0,1100,1,39.16876025,-86.57641969

2015,3,1,0,1200,1,39.16548157,-86.4972763

2015,3,5,1,1700,7,39.12152,-86.51176139

2015,3,5,1,2000,12,39.20263934,-86.60293007

2015,3,7,0,1100,15,39.145264,-86.577616

2015,3,1,0,1300,2,0,0

2015,3,1,0,1600,2,0,0

2015,3,1,0,1800,17,39.173344,-86.543792

2015,3,2,1,700,7,0,0

2015,3,3,1,1200,16,0,0

2015,3,2,1,1300,7,39.16115016,-86.48071981

2015,3,2,1,1300,2,39.21073468,-86.58259977

2015,3,2,1,1700,15,39.16664,-86.5336

2015,3,3,1,2100,7,39.136448,-86.548704

2015,3,2,1,2200,7,39.104944,-86.61032

2015,3,3,1,500,10,39.174352,-86.533472

2015,3,2,1,1300,8,39.16410678,-86.51519608

2015,3,3,1,500,7,39.15144,-86.610496

2015,3,3,1,1300,4,39.142048,-86.582592

2015,3,3,1,1400,4,39.15563017,-86.54330983

2015,3,3,1,1400,2,0,0

